,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
RGLD,0.647439,7,1,2,2,2,-1,"Royal Gold, Inc., together with its subsidiaries, acquires and manages precious metal streams, royalties, and related interests. It focuses on acquiring stream and royalty interests or to finance projects that are in production or in development stage in exchange for stream or royalty interests, which primarily consists of gold, silver, copper, nickel, zinc, lead, and cobalt. As of June 30, 2022, the Company owned interests in 185 properties on five continents, including interests on 41 producing mines and 19 development stage projects. Its stream and royalty interests on properties are located in the United States, Canada, Chile, the Dominican Republic, Australia, Africa, Mexico, and internationally. Royal Gold, Inc. was incorporated in 1981 and is headquartered in Denver, Colorado."
APD,0.801438,6,1,1,1,2,1,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide. The company produces atmospheric gases, including oxygen, nitrogen, and argon; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, syngas; specialty gases; and equipment for the production or processing of gases comprising air separation units and non-cryogenic generators for customers in various industries, including refining, chemical, gasification, metals, manufacturing, food and beverage, electronics, magnetic resonance imaging, energy production and refining, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. Air Products and Chemicals, Inc. has a strategic collaboration with Baker Hughes Company to develop hydrogen compression systems. The company was founded in 1940 and is headquartered in Allentown, Pennsylvania."
CAR,2.137035,4,2,0,2,-1,-1,"Avis Budget Group, Inc., together with its subsidiaries, provides car and truck rentals, car sharing, and ancillary products and services to businesses and consumers. It operates the Avis brand, that offers vehicle rental and other mobility solutions to the premium commercial and leisure segments of the travel industry; the Budget Truck brand, a local, and one-way truck and cargo van rental businesses with a fleet of approximately 20,000 vehicles, which are rented through a network of approximately 465 dealer-operated and 385 company-operated locations that serve the consumer and light commercial sectors in the continental United States; and the Zipcar brand, a car sharing network. The company also operates various other car rental brands, such as Budget, Payless, Apex, Maggiore, MoriniRent, FranceCars, Amicoblue, Turiscar, and ACL Hire. In addition, it offers optional insurance products and coverages, such as supplemental liability, personal accident, personal effects protection, emergency sickness protection, and automobile towing protection and cargo insurance products; fuel service options, roadside assistance services, electronic toll collection services, curbside delivery, tablet rentals, access to satellite radio, portable navigation units, and child safety seat rentals; automobile towing equipment and other moving accessories, such as hand trucks, furniture pads, and moving supplies; and Business Intelligence solution, an online portal for corporate travel. Avis Budget Group, Inc. operates in approximately 10,400 locations worldwide. The company was formerly known as Cendant Corporation and changed its name to Avis Budget Group, Inc. in September 2006. Avis Budget Group, Inc. was founded in 1946 and is headquartered in Parsippany, New Jersey."
KWR,1.28326,-1,2,2,0,2,0,"Quaker Chemical Corporation develops, produces, and markets various formulated chemical specialty products for a range of heavy industrial and manufacturing applications. The company operates through four segments: Americas; Europe, Middle East, and Africa; Asia/Pacific; and Global Specialty Businesses. It offers metal removal fluids, cleaning fluids, corrosion inhibitors, metal drawing and forming fluids, die cast mold releases, heat treatment and quenchants, metal forging fluids, hydraulic fluids, specialty greases, metal finishing fluids, offshore sub-sea energy control fluids, rolling lubricants, rod and wire drawing fluids, and surface treatment chemicals. The company also provides chemical management services. It serves steel, aluminum, automotive, aerospace, offshore, can, mining, and metalworking companies. The company was formerly known as Quaker Chemical Products Corporation and changed its name to Quaker Chemical Corporation in August 1962. Quaker Chemical Corporation was founded in 1918 and is headquartered in Conshohocken, Pennsylvania."
KL,-1.0,-1,-1,-1,-1,-1,-1,-1
SUZB3,-1.0,-1,-1,-1,-1,-1,-1,-1
500470,-1.0,-1,-1,-1,-1,-1,-1,-1
532538,-1.0,-1,-1,-1,-1,-1,-1,-1
VALE3,-1.0,-1,-1,-1,-1,-1,-1,-1
NTIC,1.126648,-1,2,2,0,2,0,"Northern Technologies International Corporation develops and markets rust and corrosion inhibiting products and services in North America, South America, Europe, Asia, the Middle East and internationally. It offers rust and corrosion inhibiting products, such as plastic and paper packaging, liquids, coatings, rust removers, cleaners, diffusers, and engineered solutions designed for the oil and gas industry under the ZERUST brand. The company also provides a portfolio of bio-based and certified compostable polymer resin compounds and finished products under the Natur-Tec brand. In addition, it offers on-site and technical consulting for rust and corrosion prevention issues. The company sells its products and services to automotive, electronics, electrical, mechanical, military, retail consumer, and oil and gas markets through direct sales force, network of independent distributors and agents, manufacturer's sales representatives, strategic partners, and joint venture. Northern Technologies International Corporation was founded in 1970 and is headquartered in Circle Pines, Minnesota."
MNDI,-1.0,-1,-1,-1,-1,-1,-1,-1
KLBN11,-1.0,-1,-1,-1,-1,-1,-1,-1
500440,-1.0,-1,-1,-1,-1,-1,-1,-1
KALU,1.055533,-1,2,2,0,1,0,"Kaiser Aluminum Corporation engages in manufacture and sale of semi-fabricated specialty aluminum mill products in the United States and internationally. The company offers rolled, extruded, and drawn aluminum products used for aerospace and defense, aluminum beverage and food packaging, automotive and general engineering products. The company's automotive extrusions include extruded aluminum products for structural components, crash management systems, anti-lock braking systems, and drawn tubes for drive shafts, as well as offers fabrication services, including sawing and cutting to length. Its packaging products consist of bare and coated 3000- and 5000-series alloy aluminum coil used for beverage and food packaging industry; and Its general engineering products comprise alloy plate, sheet, rod, bar, tube, wire, and standard extrusion shapes used in various applications, including the production of military vehicles, ordnances, semiconductor manufacturing cells, electronic devices, after-market motor sport parts, tooling plates, parts for machinery and equipment, bolts, screws, nails, and rivets. In addition, it offers rerolled, extruded, drawn, and cast billet aluminum products for industrial end uses. It sells its products directly to customers through sales personnel located in the United States, Canada, Western Europe, and China, as well as through independent sales agents in other regions of Asia, Latin America, and the Middle East. The company was founded in 1946 and is headquartered in Foothill Ranch, California."
JMAT,-1.0,-1,-1,-1,-1,-1,-1,-1
IOSP,1.138633,-1,2,2,0,2,0,"Innospec Inc. develops, manufactures, blends, markets, and supplies specialty chemicals in the United States, rest of North America, the United Kingdom, rest of Europe, and internationally. The company's Fuel Specialties segment offers a range of specialty chemical products that are used as additives in various fuels. This segment's products are used in the operation of automotive, marine, and aviation engines; power station generators; and heating oil. Its Performance Chemicals segment provides technology-based solutions for its customers' processes or products that focuses on the personal care, home care, agrochemical, and metal extraction markets. The company's Oilfield Services segment develops and markets chemical solutions for fracturing, stimulation, and completion operations; and products for oil and gas production, as well as products to prevent loss of mud in drilling operations. It sells its products primarily to oil and gas exploration and production companies, oil refineries, fuel manufacturers and users, personal care and home care companies, formulators of agrochemical and metal extraction formulations, and other chemical and industrial companies. The company was formerly known as Octel Corp. and changed its name to Innospec Inc. in January 2006. Innospec Inc. was founded in 1938 and is headquartered in Englewood, Colorado."
ACH,-1.0,-1,-1,-1,-1,-1,-1,-1
GLEN,-1.0,-1,-1,-1,-1,-1,-1,-1
CTVA,0.678362,-1,2,1,0,2,0,"Corteva, Inc. operates in the agriculture business. It operates through two segments, Seed and Crop Protection. The Seed segment develops and supplies advanced germplasm and traits that produce optimum yield for farms. It offers trait technologies that enhance resistance to weather, disease, insects, and herbicides used to control weeds, as well as food and nutritional characteristics. This segment also provides digital solutions that assist farmer decision-making with a view to optimize product selection, and maximize yield and profitability. The Crop Protection segment offers products that protect against weeds, insects and other pests, and diseases, as well as enhances crop health above and below ground through nitrogen management and seed-applied technologies. This segment provides herbicides, insecticides, nitrogen stabilizers, and pasture and range management herbicides. It serves agricultural input industry. The company operates in the United States, Canada, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. Corteva, Inc. was incorporated in 2018 and is headquartered in Indianapolis, Indiana."
CSNA3,-1.0,-1,-1,-1,-1,-1,-1,-1
CLW,0.864562,-1,2,1,0,1,0,"Clearwater Paper Corporation manufactures and supplies bleached paperboards, and consumer and parent roll tissues in the United States and internationally. It operates through two segments, Pulp and Paperboard, and Consumer Products. The Pulp and Paperboard segment offers folding cartons, liquid packaging, cups and plates, blister and carded packaging products, top sheet and commercial printing items, and softwood pulp products, as well as custom sheeting, slitting, and cutting of paperboard products. It sells its products to packaging converters, folding carton converters, merchants, and commercial printers. The Consumer Products segment provides a line of at-home tissue products, including bath tissues, paper towels, facial tissues, and napkins; recycled fiber value grade products; and away-from-home tissues. This segment sells its products to retailers and wholesale distributors, including grocery, club, mass merchants, and discount stores. Clearwater Paper Corporation was incorporated in 2005 and is headquartered in Spokane, Washington."
CHNR,0.536955,-1,-1,2,0,2,0,"China Natural Resources, Inc., through its subsidiaries, engages in the exploration and mining of metal properties in the People's Republic of China. It explores for lead, silver, and other nonferrous metals. The company holds interest in the Moruogu Tong mine that covers an area of 7.81 square kilometers located in Bayannaoer City, Inner Mongolia. It also offers equipment for rural wastewater treatment; and engineering, procurement, and construction services related to wastewater treatment. The company was incorporated in 1993 and is headquartered in Sheung Wan, Hong Kong. China Natural Resources, Inc. is a subsidiary of Feishang Group Limited."
509480,-1.0,-1,-1,-1,-1,-1,-1,-1
500027,-1.0,-1,-1,-1,-1,-1,-1,-1
500820,-1.0,-1,-1,-1,-1,-1,-1,-1
00914,-1.0,-1,-1,-1,-1,-1,-1,-1
500295,-1.0,-1,-1,-1,-1,-1,-1,-1
