,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
PCAR,0.88676,6,2,1,0,2,1,"PACCAR Inc designs, manufactures, and distributes light, medium, and heavy-duty commercial trucks in the United States, Europe, Mexico, South America, Australia, and internationally. It operates through three segments: Truck, Parts, and Financial Services. The Truck segment designs, manufactures, and distributes trucks for the over-the-road and off-highway hauling of commercial and consumer goods. It sells its trucks through a network of independent dealers under the Kenworth, Peterbilt, and DAF nameplates. The Parts segment distributes aftermarket parts for trucks and related commercial vehicles. The Financial Services segment conducts full-service leasing operations under the PacLease trade name, as well as provides finance and leasing products and services to customers and dealers. This segment also offers equipment financing and administrative support services for its franchisees; retail loan and leasing services for small, medium, and large commercial trucking companies, as well as independent owners/operators and other businesses; and truck inventory financing services to independent dealers. In addition, this segment offers loans and leases directly to customers for the acquisition of trucks and related equipment. The company also manufactures and markets industrial winches under the Braden, Carco, and Gearmatic nameplates. PACCAR Inc was founded in 1905 and is headquartered in Bellevue, Washington."
LMT,0.730097,6,2,1,0,1,2,"Lockheed Martin Corporation, a security and aerospace company, engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services worldwide. It operates through four segments: Aeronautics, Missiles and Fire Control, Rotary and Mission Systems, and Space. The Aeronautics segment offers combat and air mobility aircraft, unmanned air vehicles, and related technologies. The Missiles and Fire Control segment provides air and missile defense systems; tactical missiles and air-to-ground precision strike weapon systems; logistics; fire control systems; mission operations support, readiness, engineering support, and integration services; manned and unmanned ground vehicles; and energy management solutions. The Rotary and Mission Systems segment offers military and commercial helicopters, surface ships, sea and land-based missile defense systems, radar systems, sea and air-based mission and combat systems, command and control mission solutions, cyber solutions, and simulation and training solutions. The Space segment offers satellites; space transportation systems; strategic, advanced strike, and defensive missile systems; and classified systems and services in support of national security systems. This segment also provides network-enabled situational awareness and integrates space and ground-based systems to help its customers gather, analyze, and securely distribute critical intelligence data. It serves primarily serves the U.S. government, as well as foreign military sales contracted through the U.S. government. Lockheed Martin Corporation was founded in 1912 and is headquartered in Bethesda, Maryland."
FCN,0.370796,6,1,2,0,2,1,"FTI Consulting, Inc. provides business advisory services to manage change, mitigate risk, and resolve disputes worldwide. The company operates through five segments: Corporate Finance & Restructuring, Forensic and Litigation Consulting, Economic Consulting, Technology, and Strategic Communications. Its Corporate Finance & Restructuring segment provides business transformation, transactions, and turnaround and restructuring services. The company's Forensic and Litigation Consulting segment offers. construction and environmental solution, data and analytics, dispute, health solution, and risk and investigation services. Its Economic Consulting segment provides. antitrust and competition economic, financial economic, and international arbitration services. The company's Technology segment offers corporate legal operation; e-discovery and expertise; and information governance, privacy, and security services. Its Strategic Communications segment provides corporate reputation, financial communication, and public affairs services. The company serves aerospace and defense, agriculture, airlines and aviation, automotive and industrial, construction, energy, power and products, environmental solutions, financial services, healthcare and life sciences, hospitality, gaming and leisure, insurance, mining, private equity, public sector, real estate, retail and consumer products, telecom, media and technology, and transportation and logistics industries. The company was founded in 1982 and is headquartered in Washington, District of Columbia."
CAT,0.993188,6,2,1,1,0,2,"Caterpillar Inc. manufactures and sells construction and mining equipment, diesel and natural gas engines, and industrial gas turbines worldwide. Its Construction Industries segment offers asphalt pavers, backhoe loaders, compactors, cold planers, compact track and multi-terrain loaders, excavators, motorgraders, pipelayers, road reclaimers, site prep tractors, skid steer loaders, telehandlers, and utility vehicles; mini, small, medium, and large excavators; compact, small, and medium wheel loaders; track-type tractors and loaders; and wheel excavators. The Resource Industries segment provides electric rope shovels, draglines, hydraulic shovels, rotary drills, hard rock vehicles, track-type tractors, mining trucks, longwall miners, wheel loaders, off-highway trucks, articulated trucks, wheel tractor scrapers, wheel dozers, fleet management, landfill compactors, soil compactors, machinery components, autonomous ready vehicles and solutions, select work tools, and safety services and mining performance solutions. The Energy & Transportation segment offers reciprocating engines, generator sets, integrated systems and solutions, turbines and turbine-related services, remanufactured reciprocating engines and components, centrifugal gas compressors, diesel-electric locomotives and components, and other rail-related products and services for marine, oil and gas, industrial, and electric power generation sectors. The company's Financial Products segment provides operating and finance leases, installment sale contracts, working capital loans, and wholesale financing plans; and insurance and risk management products for vehicles, power generation facilities, and marine vessels. The All Other operating segment manufactures filters and fluids, undercarriage, ground engaging tools, etc. The company was formerly known as Caterpillar Tractor Co. and changed its name to Caterpillar Inc. in 1986. The company was founded in 1925 and is headquartered in Deerfield, Illinois."
FERG,0.999041,6,2,1,0,1,2,"Ferguson plc distributes plumbing and heating products in the United States and Canada. It offers plumbing and heating solutions to customers in the residential, commercial, civil/infrastructure, and industrial end markets. The company also distributes pipes, valves, fittings, plumbing supplies, water heaters, kitchen and bathroom fixtures, and appliances; heating, ventilation, air conditioning, and refrigeration products and supplies; and plumbing parts and supplies, fire sprinkler systems, hangers, struts, and fasteners. In addition, it distributes water meters and automation products, irrigation and drainage products, geosynthetics, and stormwater management products; flanges, general industrial maintenance repair and operations products, high density polyethylene products, and fabrication products; water and wastewater treatment products; and PVF solutions. Further, the company offers services, including consultation, advice and project management, pro pick-up, and delivery services; online tools; quotation, jobsite delivery and logistics, project management, and fabrication services; digitally enhanced estimation, and design services; advanced metering infrastructure services; and supply chain and equipment rental services. The company also sells its products through online channels. It operates a network of 1,679 branches and 11 distribution centers. Ferguson plc was founded in 1887 and is headquartered in Wokingham, the United Kingdom."
PLOW,0.901234,6,2,2,0,1,1,"Douglas Dynamics, Inc. operates as a manufacturer and upfitter of commercial work truck attachments and equipment in North America. It operates through two segments, Work Truck Attachments and Work Truck Solutions. The Work Truck Attachments segment manufactures and sells snow and ice control attachments, including snowplows, and sand and salt spreaders for light trucks and heavy duty trucks, as well as various related parts and accessories. The Work Truck Solutions segment primarily manufactures municipal snow and ice control products; provides truck and vehicle upfits where it attaches component pieces of equipment, truck bodies, racking, and storage solutions to a vehicle chassis for use by end users for work related purposes; and manufactures storage solutions for trucks and vans, and cable pulling equipment for trucks. This segment also offers up-fit and storage solutions. It also provides customized turnkey solutions to governmental agencies, such as Departments of Transportation and municipalities. The company sells its products under the BLIZZARD, FISHER, SNOWEX, WESTERN, TURFEX, SWEEPEX, HENDERSON, BRINEXTREME, and DEJANA brands. It distributes its products primarily to professional snowplowers who are contracted to remove snow and ice from commercial and residential areas. The company was founded in 1948 and is headquartered in Milwaukee, Wisconsin."
ZTO,-0.005534,5,1,1,1,2,0,"ZTO Express (Cayman) Inc. provides express delivery and other value-added logistics services in the People's Republic of China. The company offers delivery services for e-commerce and traditional merchants, and other express service users. As of December 31, 2021, it operated a fleet of approximately 10,900 trucks. The company was founded in 2002 and is headquartered in Shanghai, the People's Republic of China."
ASGN,1.837377,5,2,-1,0,2,1,"ASGN Incorporated provides information technology services and professional solutions in the technology, digital, and creative fields for commercial and government sectors in the United States. It operates through two segments: Commercial and Federal Government. The Commercial Segment provides consulting, creative digital marketing, and permanent placement services primarily to Fortune 1000 and mid-market clients. This segment also offers workforce mobilization, modern enterprise, and digital innovation IT consulting services; and cloud, data and analytics, and digital transformation solutions. The Federal Government Segment provides mission-critical solutions to the department of defense, intelligence agencies, and civilian agencies. This segment offers cloud, cybersecurity, artificial intelligence, machine learning, application and IT modernization, and science and engineering solutions. The company was formerly known as On Assignment, Inc. and changed its name to ASGN Incorporated in April 2018. ASGN Incorporated was incorporated in 1985 and is based in Glen Allen, Virginia."
BECN,1.778629,4,2,1,0,1,-1,"Beacon Roofing Supply, Inc., together with its subsidiaries, distributes residential and non-residential roofing materials, and complementary building products to contractors, home builders, building owners, lumberyards, and retailers. It offers pitched roofing and low slope roof products; gutters and sidings; building materials, such as lumber and composite, skylights and window, plywood and OSB, decking and railing, and HVAC products; and foam board, spray foam, roll, batt, mineral wool, fiberglass, and commercial insulation products, as well as radiant barriers and blown-in insulation and equipment. The company also provides above grade and below grade membranes and coatings, deck and floor coatings, plaza deck waterproofing products, damp proofing coatings, and air and vapor barriers; tools and equipment, including power and hand tools, ladders and scaffolding, air tools and compressors, nails, screws and fasteners, generators, work wear and safety gear, job site supplies, tool bags and belts, welding and soldering, cleaning supplies, drill bits, and saw blades; and solar panels, mounting hardware, inverters, and storage and batteries. As of September 30, 2021, it operated approximately 446 branches in 50 states of the United States and 6 provinces in Canada. Beacon Roofing Supply, Inc. was founded in 1928 and is headquartered in Herndon, Virginia."
BYD,1.898254,3,2,-1,1,0,-1,"Boyd Gaming Corporation, together with its subsidiaries, operates as a multi-jurisdictional gaming company. It operates through three segments: Las Vegas Locals, Downtown Las Vegas, and Midwest & South. As of December 31, 2021, the company operated 28 gaming entertainment properties located in Nevada, Illinois, Indiana, Iowa, Kansas, Louisiana, Mississippi, Missouri, Ohio, and Pennsylvania. It also engages in owning and operating a travel agency. The company was founded in 1975 and is headquartered in Las Vegas, Nevada."
SMIN,,0,-1,-1,-1,-1,-1,The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the performance of equity securities of small-capitalization companies in the Indian equity market.
EZJ,,0,-1,-1,-1,-1,-1,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index adjusts the market capitalization of Index constituents for free float and targets for Index inclusion 85% of the free float-adjusted market capitalization in Japan. The fund is non-diversified."
03311,-1.0,-1,-1,-1,-1,-1,-1,-1
ROLL,1.275862,-1,0,2,0,2,0,"RBC Bearings Incorporated manufactures and markets engineered precision bearings and components in the United States and internationally. It operates through two segments, Aerospace/Defense and Industrial. The company produces plain bearings with self-lubricating or metal-to-metal designs, including rod end bearings, spherical plain bearings, and journal bearings; roller bearings, such as tapered roller bearings, needle roller bearings, and needle bearing track rollers and cam followers, which are anti-friction products that are used in industrial applications and military aircraft platforms; and ball bearings include high precision aerospace, airframe control, thin section, and industrial ball bearings that utilize high precision ball elements to reduce friction in high-speed applications. It also offers mounted bearing products include mounted ball bearings, mounted roller bearings, and mounted plain bearings; and enclosed gearing product lines, including quantis gearmotor, torque arm, tigear, magnagear & maxum, and controlled start transmission. In addition, the company produces power transmission components include mechanical drive components, couplings, and conveyor components; engineered hydraulics and valves for aircraft and submarine applications, and aerospace and defense aftermarket services; fasteners; precision mechanical components, which are used in various general industrial applications; and machine tool collets that are used for holding circulars or rod-like pieces. It serves automotive, tool holding, agricultural and semiconductor machinery, commercial and defense aerospace, ground defense, construction and mining, oil and natural resource extraction, heavy truck, marine, rail and train, packaging, food and beverage, packaging and canning, wind, and general industrial markets through its direct sales force, as well as a network of industrial and aerospace distributors. The company was founded in 1919 and is headquartered in Oxford, Connecticut."
RBA,1.001277,-1,0,1,2,1,2,"Ritchie Bros. Auctioneers Incorporated, an asset management and disposition company, sells industrial equipment and other durable assets through its unreserved auctions, online marketplaces, listing services, and private brokerage services. It sells a range of used and unused commercial assets, including earthmoving equipment, truck tractors and trailers, government surplus, oil and gas equipment, and other industrial assets, as well as construction and heavy machinery. The company also offers live auction events with online bidding. It sells used equipment to its customers through live unreserved auctions at 40 auction sites worldwide. The company serves construction, transportation, agriculture, energy, oil and gas, mining, and forestry sectors. It operates in the United States, Canada, Australia, the United Arab Emirates, the Netherlands, Europe, the Middle East, Asia, and internationally. Ritchie Bros. Auctioneers Incorporated was founded in 1958 and is headquartered in Burnaby, Canada."
RR.,-1.0,-1,-1,-1,-1,-1,-1,-1
RAIL3,-1.0,-1,-1,-1,-1,-1,-1,-1
600009,-1.0,-1,-1,-1,-1,-1,-1,-1
SKYW,1.786292,-1,2,1,0,1,0,"SkyWest, Inc., through its subsidiaries, operates a regional airline in the United States. The company operates through two segment, SkyWest Airlines and SkyWest Leasing. It also leases regional jet aircraft and spare engines to third parties. As of December 31, 2021, the company's fleet consisted of 629 aircraft; and provided scheduled passenger and air freight services with approximately 2,080 total daily departures to various destinations in the United States, Canada, Mexico, and the Caribbean. In addition, it offers airport customer and ground handling services for other airlines. SkyWest, Inc. was incorporated in 1972 and is headquartered in St. George, Utah."
LUV,1.006385,-1,2,1,0,1,0,"Southwest Airlines Co. operates as a passenger airline company that provide scheduled air transportation services in the United States and near-international markets. As of December 31, 2021, the company operated a total fleet of 728 Boeing 737 aircrafts; and served 121 destinations in 42 states, the District of Columbia, and the Commonwealth of Puerto Rico, as well as 10 near-international countries, including Mexico, Jamaica, the Bahamas, Aruba, the Dominican Republic, Costa Rica, Belize, Cuba, the Cayman Islands, and Turks and Caicos. It also provides inflight entertainment and connectivity services on Wi-Fi enabled aircrafts; and Rapid Rewards loyalty program that enables program members to earn points for dollars spent on Southwest base fares. In addition, the company offers a suite of digital platforms to support customers' travel needs, including websites and apps; and SWABIZ, an online booking tool. Further, it provides ancillary services, such as Southwest's EarlyBird Check-In, upgraded boarding, and transportation of pets and unaccompanied minors. The company was incorporated in 1967 and is headquartered in Dallas, Texas."
500103,-1.0,-1,-1,-1,-1,-1,-1,-1
BA,1.367816,-1,0,1,0,-1,-1,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through four segments: Commercial Airplanes; Defense, Space & Security; Global Services; and Boeing Capital. The Commercial Airplanes segment provides commercial jet aircraft for passenger and cargo requirements, as well as fleet support services. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Capital segment offers financing services and manages financing exposure for a portfolio of equipment under operating leases, sales-type/finance leases, notes and other receivables, assets held for sale or re-lease, and investments. The company was incorporated in 1916 and is based in Chicago, Illinois."
SAVE,1.061302,-1,2,1,0,0,0,"Spirit Airlines, Inc. provides airline services. It serves 85 destinations in 16 countries in the United States, Latin America, and the Caribbean. As of December 31, 2021, the company had a fleet of 173 Airbus single-aisle aircraft. It sells tickets through its call centers and airport ticket counters, as well as online through spirit.com; and through various third parties, including online, traditional travel agents, and electronic global distribution systems. The company was formerly known as Clippert Trucking Company and changed its name to Spirit Airlines, Inc. in 1992. Spirit Airlines, Inc. was founded in 1964 and is headquartered in Miramar, Florida."
TWI,2.401447,-1,0,1,0,0,2,"Titan International, Inc., together with its subsidiaries, manufactures and sells wheels, tires, and undercarriage systems and components for off-highway vehicles in North America, Europe, Latin America, the Commonwealth of Independent States region, the Middle East, Africa, Russia, and internationally. The company operates in Agricultural, Earthmoving/Construction, and Consumer segments. It offers rims, wheels, tires, and undercarriage systems and components for various agricultural equipment, including tractors, combines, skidders, plows, planters, and irrigation equipment. The company also offers rims, wheels, tires, and undercarriage systems and components for off-the-road earthmoving, mining, military, construction, and forestry equipment, including skid steers, aerial lifts, cranes, graders and levelers, scrapers, self-propelled shovel loaders, articulated dump trucks, load transporters, haul trucks, backhoe loaders, crawler tractors, lattice cranes, shovels, and hydraulic excavators. In addition, it provides bias and light truck tires; and products for ATVs, turf, and golf cart applications, as well as specialty and train brakes. It sells its products directly to original equipment manufacturers, as well as to the aftermarket through independent distributors, equipment dealers, and own distribution centers. Titan International, Inc. was founded in 1890 and is headquartered in Quincy, Illinois."
UBER,1.314467,-1,0,1,0,1,0,"Uber Technologies, Inc. develops and operates proprietary technology applications in the United States, Canada, Latin America, Europe, the Middle East, Africa, and the Asia Pacific. It connects consumers with independent providers of ride services for ridesharing services; and connects riders and other consumers with restaurants, grocers, and other stores with delivery service providers for meal preparation, grocery, and other delivery services. The company operates through three segments: Mobility, Delivery, and Freight. The Mobility segment provides products that connect consumers with mobility drivers who provide rides in a range of vehicles, such as cars, auto rickshaws, motorbikes, minibuses, or taxis. It also offers financial partnerships, transit, and vehicle solutions offerings. The Delivery segment allows consumers to search for and discover local restaurants, order a meal, and either pick-up at the restaurant or have the meal delivered; and offers grocery, alcohol, and convenience store delivery, as well as select other goods. The Freight segment connects carriers with shippers on the company's platform and enable carriers upfront, transparent pricing, and the ability to book a shipment, as well as transportation management and other logistics services offerings. The company was formerly known as Ubercab, Inc. and changed its name to Uber Technologies, Inc. in February 2011. Uber Technologies, Inc. was founded in 2009 and is headquartered in San Francisco, California."
VRSK,0.83908,-1,0,0,2,1,2,"Verisk Analytics, Inc. provides data analytics solutions in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, natural resources intelligence, economic forecasting, commercial banking and finance, and various other fields. It operates in three segments: Insurance, Energy and Specialized Markets, and Financial Services. The Insurance segment focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The Energy and Specialized Markets segment provides data analytics for the natural resources value chain, including energy, chemicals, metals, mining, power, and renewables sectors; research and consulting services focusing on supporting customer capital allocation decisions, asset valuation and benchmarking, commodity markets, and corporate analysis; and consultancy services in the areas of business environment, business improvement, business strategies, commercial advisory, and transaction support, as well as analysis and advice on assets, companies, governments, and markets. The Financial Services segment offers benchmarking, decisioning algorithms, business intelligence, and customized analytic services to financial institutions, payment networks and processors, alternative lenders, regulators, and merchants. The company was founded in 1971 and is headquartered in Jersey City, New Jersey."
