,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
TWTR,0.594721,-1,0,2,0,1,0,"Twitter, Inc. operates as a platform for public self-expression and conversation in real-time. The company's primary product is Twitter, a platform that allows users to consume, create, distribute, and discover content. It also provides promoted products that enable advertisers to promote brands, products, and services, as well as enable advertisers to target an audience based on various factors, including who an account follows and actions taken on its platform, such as Tweets created and engagement with Tweets. Its promoted products consist of promoted ads and Twitter Amplify, Follower Ads, and Twitter takeover. In addition, the company offers monetization products for creators, including Tips to directly send small one-time payments on Twitter using various payment methods, including bitcoin; Super Follows, a paid monthly subscription, which includes bonus content, exclusive previews, and perks as a way to support and connect with creators on Twitter; and Ticketed Spaces to support creators on Twitter for their time and effort in hosting, speaking, and moderating the public conversation on Twitter Spaces. Further, it offers products for developers and data partners comprising Twitter Developer Platform, a platform that enables developers to build tools for people and businesses using its public application programming interface; and paid access to Twitter data for partners with commercial use cases. Twitter, Inc. was founded in 2006 and is based in San Francisco, California."
NCTY,1.424861,-1,2,1,0,2,0,"The9 Limited, together with its subsidiaries, operates as an Internet company in the People's Republic of China. It engages in the operation of cryptocurrency mining; and NFTSTAR, a NFT trading and community platform that provides users with purchase, trade, and interactive activities. The company was formerly known as GameNow.net Limited and changed its name to The9 Limited in February 2004. The9 Limited was incorporated in 1999 and is headquartered in Shanghai, the People's Republic of China."
DIS,1.237122,-1,1,1,0,2,0,"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide. It operates through two segments, Disney Media and Entertainment Distribution; and Disney Parks, Experiences and Products. The company engages in the film and episodic television content production and distribution activities, as well as operates television broadcast networks under the ABC, Disney, ESPN, Freeform, FX, Fox, National Geographic, and Star brands; and studios that produces motion pictures under the Walt Disney Pictures, Twentieth Century Studios, Marvel, Lucasfilm, Pixar, and Searchlight Pictures banners. It also offers direct-to-consumer streaming services through Disney+, Disney+ Hotstar, ESPN+, Hulu, and Star+; sale/licensing of film and television content to third-party television and subscription video-on-demand services; theatrical, home entertainment, and music distribution services; staging and licensing of live entertainment events; and post-production services by Industrial Light & Magic and Skywalker Sound. In addition, the company operates theme parks and resorts, such as Walt Disney World Resort in Florida; Disneyland Resort in California; Disneyland Paris; Hong Kong Disneyland Resort; and Shanghai Disney Resort; Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney as well as Aulani, a Disney resort and spa in Hawaii; licenses its intellectual property to a third party for the operations of the Tokyo Disney Resort; and provides consumer products, which include licensing of trade names, characters, visual, literary, and other IP for use on merchandise, published materials, and games. Further, it sells branded merchandise through retail, online, and wholesale businesses; and develops and publishes books, comic books, and magazines. The Walt Disney Company was founded in 1923 and is based in Burbank, California."
00700,-1.0,-1,-1,-1,-1,-1,-1,-1
TU,0.580191,-1,2,0,0,1,0,"TELUS Corporation, together with its subsidiaries, provides a range of telecommunications and information technology products and services in Canada. It operates through Technology Solutions and Digitally-Led Customer Experiences segments. The Technology Solutions segment offers a range of telecommunications products and services; network revenue; mobile technologies equipment sale; data revenues, such as internet protocol; television; hosting, managed information technology, and cloud-based services; software, data management, and data analytics-driven smart food-chain technologies; home and business security; healthcare software and technology solutions; and voice and other telecommunications services. The Digitally-Led Customer Experiences segment provides digital customer experience and digital-enablement transformation solutions, including artificial intelligence and content management solutions. It has 16.9 million subscriber connections, which include 9.3 million mobile phone subscribers; 2.1 million connected device subscribers; 2.3 million internet subscribers; 1.1 million residential voice subscribers; 1.3 million TV subscribers; and 804,000 security subscribers. The company was formerly known as TELUS Communications Inc. and changed its name to TELUS Corporation in February 2005. TELUS Corporation was incorporated in 1998 and is headquartered in Vancouver, Canada."
SPOT,1.793668,-1,0,1,0,2,0,"Spotify Technology S.A., together with its subsidiaries, provides audio streaming services worldwide. It operates through Premium and Ad-Supported segments. The Premium segment offers unlimited online and offline streaming access to its catalog of music and podcasts without commercial breaks to its subscribers. The Ad-Supported segment provides on-demand online access to its catalog of music and unlimited online access to the catalog of podcasts to its subscribers on their computers, tablets, and compatible mobile devices. The company also offers sales, marketing, contract research and development, and customer support services. As of December 31, 2021, its platform included 406 million monthly active users and 180 million premium subscribers in 184 countries and territories. The company was incorporated in 2006 and is based in Luxembourg, Luxembourg."
AMC,1.751383,-1,0,0,0,-1,-1,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. As of March 1, 2022, it operated approximately 950 theatres and 10,600 screens. The company was founded in 1920 and is headquartered in Leawood, Kansas."
RCI,0.372537,-1,2,2,0,0,1,"Rogers Communications Inc. operates as a communications and media company in Canada. It operates through three segments: Wireless, Cable, and Media. The company offers mobile Internet access, wireless voice and enhanced voice, device and accessory financing, wireless home phone, device protection, e-mail, global voice and data roaming, bridging landline, machine-to-machine and Internet of Things solutions, and advanced wireless solutions for businesses, as well as device delivery services; and postpaid and prepaid services under the Rogers, Fido, and chatr brands to approximately 11.3 million subscribers. It also provides Internet and WiFi services; smart home monitoring services, such as monitoring, security, automation, energy efficiency, and smart control through a smartphone app. In addition, the company offers local and network TV; on-demand television; cloud-based digital video recorders; voice-activated remote controls, and integrated apps; personal video recorders; linear and time-shifted programming; digital specialty channels; 4K television programming; and televised content on smartphones, tablets, and personal computers, as well as operates Ignite TV and Ignite TV app. Further, it provides residential and small business local telephony services; calling features, such as voicemail, call waiting, and long distance; voice, data networking, Internet protocol, and Ethernet services; private networking, Internet, IP voice, and cloud solutions; optical wave and multi-protocol label switching services; IT and network technologies; and cable access network services. The company also owns Toronto Blue Jays and the Rogers Centre event venue; and operates Sportsnet ONE, Sportsnet 360, Sportsnet World, Citytv, OMNI, FX (Canada), FXX (Canada), and OLN television networks, as well as 55 AM and FM radio stations. The company was founded in 1960 and is headquartered in Toronto, Canada."
EDR,,-1,2,1,0,0,0,"Endeavor Group Holdings, Inc. operates as an entertainment, sports, and content company in the United States, the United Kingdom, and internationally. It operates in three segments: Owned Sports Properties, Events, Experiences & Rights, and Representation. The Owned Sports Properties segment operates a portfolio of sports properties, including Ultimate Fighting Championship, Professional Bull Rider, Euroleague, and Diamond Baseball Holdings, that license broadcast and other intellectual property rights and operate exclusive live events. The Events, Experiences & Rights segment provides services to a portfolio of live events, including sporting events, fashion, art fairs and music, culinary, and lifestyle festivals. This segment also owns and operates the IMG Academy, an academic and sports training institution; and produces and distributes sports video programming. The Representation segment offers services to a diverse group of talent across entertainment, sports, and fashion, such as actors, directors, writers, athletes, models, musicians, and other artists in various mediums comprising film, television, art, books, and live events. This segment provides brand strategy, marketing, advertising, public relations, analytics, digital, activation, and experiential services to corporate and other clients; intellectual property licensing services to a portfolio of entertainment, sports, and consumer product brands; and content development, production, financing, sales, and advisory services for television properties, documentaries, feature films, and podcasts. The company was founded in 1898 and is based in Beverly Hills, California."
RMV,-1.0,-1,-1,-1,-1,-1,-1,-1
PSON,-1.0,-1,-1,-1,-1,-1,-1,-1
BIDU,0.797786,-1,2,2,0,2,0,"Baidu, Inc. offers internet search services in China. It operates through Baidu Core and iQIYI segments. The company offers Baidu App to access search, feed, and other services using mobile devices; Baidu Search to access its search and other services; Baidu Feed that provides users with personalized timeline based on their demographics and interests; and Haokan, a short video app. It also provides Baidu Knows, an online community where users can ask questions to other users; Baidu Wiki; Baidu Healthcare Wiki; Baidu Wenku; Baidu Scholar; Baidu Experience; Baidu Post; Baidu Maps, a voice-enabled mobile app that provides travel-related services; Baidu Drive; Baijiahao; and DuerOS, a smart assistant platform. In addition, it offers online marketing services, which include pay for performance, an auction-based services that allow customers to bid for priority placement of paid sponsored links and reach users who search for information related to their products or services; other marketing services that include display-based marketing services and other online marketing services based on performance criteria other than cost per click; mobile ecosystem, a portfolio of apps, including Baidu App, Haokan, and Baidu Post; various cloud services and solutions, such as platform as a service, software as a service, and infrastructure as a service; self-driving services, including maps, automated valet parking, autonomous navigation pilot, electric vehicles, and robotaxi fleets, as well as Xiaodu smart devices. Further, the company provides iQIYI, AN online entertainment service, including original and licensed content; other video content and membership; and online advertising services. Baidu, Inc. has strategic partnership with Zhejiang Geely Holding Group. The company was formerly known as Baidu.com, Inc. Baidu, Inc. was incorporated in 2000 and is headquartered in Beijing, China."
532454,-1.0,-1,-1,-1,-1,-1,-1,-1
BT.A,-1.0,-1,-1,-1,-1,-1,-1,-1
535648,-1.0,-1,-1,-1,-1,-1,-1,-1
IMAX,1.388676,-1,2,2,0,2,0,"IMAX Corporation, together with its subsidiaries, operates as an entertainment technology company worldwide. It offers cinematic solution through proprietary software, theater architecture, intellectual property, and specialized equipment. The company offers IMAX Digital Re-Mastering (DMR), a proprietary technology that digitally enhances the image resolution, visual clarity, and sound quality of motion picture films for projection on IMAX screens; IMAX theater systems to exhibitor customers through sales, leases, and joint revenue sharing arrangements; and digital projection systems. It also provides preventative and emergency maintenance services to IMAX network; distributes large-format documentary films; film post-production and quality control services for large-format films, and digital post-production services; owns and operates IMAX theaters; and rents 2D and 3D large-format film and digital cameras, as well as offers production advice and technical assistance services to documentary and Hollywood filmmakers. The company markets its theater systems through a direct sales force and marketing staff to science and natural history museums, zoos, aquaria, and other educational and cultural centers, as well as theme parks, private home theaters, tourist destination sites, fairs, and expositions. It owns or otherwise has rights to trademarks and trade names, which include IMAX, IMAX Dome, IMAX 3D, IMAX 3D Dome, Experience It in IMAX, The IMAX Experience, An IMAX Experience, An IMAX 3D Experience, IMAX DMR, DMR, IMAX Enhanced, IMAX nXos, and Films To The Fullest. As of December 31, 2021, the company had a network of 1,683 IMAX theater systems comprising 1,599 commercial multiplexes, 12 commercial destinations, and 72 institutional facilities operating in 87 countries and territories. IMAX Corporation was founded in 1967 and is headquartered in Mississauga, Canada."
GOGO,1.112813,-1,0,1,2,-1,-1,"Gogo Inc., through its subsidiaries, provides broadband connectivity services to the aviation industry in the United States and internationally. It operates through Commercial Aviation North America (CA-NA), Commercial Aviation Rest of World (CA-ROW), and Business Aviation (BA) segments. The company design, build and operate air-to-ground networks, engineer and maintain in-flight systems of proprietary hardware and software, and deliver customizable connectivity and wireless entertainment services. It also offers suite of integrated equipment, network, and internet connectivity products and services, as well as includes suite of smart cabin systems for integrated connectivity, in-flight entertainment, and voice solutions. In addition, the company portfolio comprises of in-flight network, in-flight systems, in-flight services, aviation partner support, and production operations functions. Further, the company offers satellite-based voice and data services. Gogo Inc. was founded in 1991 and is headquartered in Broomfield, Colorado."
00941,-1.0,-1,-1,-1,-1,-1,-1,-1
VOD,0.661715,-1,2,0,0,1,0,"Vodafone Group Public Limited Company engages in telecommunication services in Europe and internationally. The company offers mobile services that enable customers to call, text, and access data; fixed line services, including broadband, television (TV) offerings, and voice; and convergence services under the GigaKombi and Vodafone One names to customers. It also provides value added services, such as Internet of Things (IoT) comprising logistics and fleet management, smart metering, insurance, cloud, and security services; and automotive and health solutions. In addition, the company offers M-Pesa, an African payment platform, which provides money transfer, financial, and business and merchant payment services; and various services to operators through its partner market agreements. Vodafone Group Public Limited Company has a strategic partnership with Open Fiber. As of March 31, 2022, it had approximately 323 million mobile customers, 28 million fixed broadband customers, and 22 million TV customers. The company was incorporated in 1984 and is based in Newbury, the United Kingdom."
